David Torres 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Diego Conde 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Diego Fuoli 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Diego González 	6	327	0	0	0	0	2	0	0% 	0	0	0% 	0	0	3	4	3	3	0	0	2	0	0	0	0	0	0	0	3	0	0	0	81% 	0	1	0	0	0	0
Diego López 	1	90	0	0	1	3	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	70% 	0	0	0	0	0	0
Diego López 	1	10	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100% 	0	0	0	0	0	0
Diego Rico 	7	594	0	0	0	0	4	1	25% 	24	6	25% 	0	4	14	8	5	11	0	0	1	0	0	0	0	0	0	0	0	0	5	5	79% 	0	2	0	0	0	0
Dimitri Foulquier 	9	287	0	1	0	0	1	0	0% 	3	3	100% 	0	1	1	9	2	4	0	0	2	0	0	0	0	0	0	0	0	0	2	2	67% 	0	0	0	0	0	0
Domingos Duarte 	13	1125	0	2	0	0	8	3	38% 	0	0	0% 	0	0	11	13	19	8	0	0	5	0	0	0	0	0	0	1	12	0	2	3	80% 	0	6	0	0	0	0
Domingos Quina 	9	268	0	0	0	0	5	0	0% 	7	3	43% 	0	4	10	3	2	3	0	0	1	0	0	0	0	0	0	0	0	0	3	3	84% 	0	0	0	0	0	0
Dominik Greif 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Dyego Sousa 	10	306	0	1	0	0	8	3	38% 	0	0	0% 	0	2	4	6	0	2	0	0	1	0	0	0	0	0	0	0	1	0	5	5	69% 	0	0	0	0	0	0
Eden Hazard 	3	99	0	0	0	0	2	1	50% 	0	0	0% 	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	90% 	0	0	0	0	0	0
Edgar Badia 	14	1260	0	0	62	31	0	0	0% 	0	0	0% 	0	0	2	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	68% 	0	15	0	0	0	0
Edinson Cavani 	7	430	4	1	0	0	14	7	50% 	0	0	0% 	1	4	5	4	0	0	0	0	0	0	0	0	3	2	0	0	2	0	1	4	76% 	0	0	0	1	0	0
Edu Expósito 	13	772	2	2	0	0	11	5	45% 	22	5	23% 	0	4	15	11	9	16	0	0	0	0	0	0	0	0	0	0	0	0	5	14	77% 	5	5	1	2	0	0
